trip_id,start_time,end_time,headway_secs,exact_times
1:AVL---:1578,05:44:00,06:14:00,900,1
1:AVL---:1826,13:10:00,14:30:00,1200,1
1:AVL---:2075,21:38:00,23:38:00,1800,1
1:AVL---:1740,06:00:00,06:40:00,1200,1
1:AVL---:1726,12:42:00,13:42:00,1800,1
1:AVL---:819,06:49:00,07:49:00,1800,1
1:AVL---:1710,07:43:00,09:43:00,1800,1
1:AVL---:1721,08:13:00,18:43:00,5400,1
1:AVL---:908,10:07:00,11:07:00,1800,1
1:AVL---:958,05:34:00,07:04:00,1800,1
1:AVL---:1831,11:53:00,14:13:00,1200,1
1:AVL---:2026,08:19:00,19:49:00,1800,1
1:AVL---:1723,11:12:00,12:12:00,1800,1
1:AVL---:884,16:09:00,16:49:00,1200,1
1:AVL---:1933,08:20:00,09:20:00,1800,1
1:AVL---:1785,15:20:00,16:20:00,1800,1
1:AVL---:942,11:45:00,19:45:00,1800,1
1:AVL---:846,06:53:00,19:53:00,1200,1
1:AVL---:1860,06:58:00,19:43:00,900,1
1:AVL---:1922,08:40:00,10:30:00,600,1
1:AVL---:2096,09:05:00,15:05:00,7200,1
1:AVL---:1727,16:12:00,17:12:00,1800,1
1:AVL---:931,20:37:00,24:07:00,1800,1
1:AVL---:1921,10:40:00,13:30:00,600,1
1:AVL---:1754,09:27:00,18:27:00,5400,1
1:AVL---:1399,06:01:00,07:31:00,1800,1
1:AVL---:1859,05:49:00,07:19:00,1800,1
1:AVL---:1784,13:20:00,14:20:00,1800,1
1:AVL---:1683,10:03:00,17:03:00,3600,1
1:AVL---:1005,14:50:00,17:20:00,1800,1
1:AVL---:1932,17:43:00,19:13:00,1800,1
1:AVL---:1955,07:07:00,08:07:00,1800,1
1:AVL---:946,08:16:00,11:16:00,1800,1
1:AVL---:1930,11:13:00,13:43:00,1800,1
1:AVL---:1882,21:42:00,23:42:00,900,1
1:AVL---:1072,09:22:00,10:52:00,600,1
1:AVL---:1094,06:37:00,08:07:00,600,1
1:AVL---:887,07:55:00,19:35:00,1200,1
1:AVL---:1827,15:10:00,16:30:00,1200,1
1:AVL---:1824,09:10:00,10:30:00,1200,1
1:AVL---:1037,12:20:00,12:50:00,900,1
1:AVL---:2073,08:08:00,11:08:00,1800,1
1:AVL---:1880,24:13:00,27:13:00,1800,1
1:AVL---:1445,19:55:00,20:55:00,1800,1
1:AVL---:1058,11:50:00,19:50:00,1800,1
1:AVL---:1077,18:32:00,19:42:00,600,1
1:AVL---:1833,15:53:00,18:13:00,1200,1
1:AVL---:2017,06:01:00,11:01:00,1800,1
1:AVL---:1018,13:02:00,14:02:00,900,1
1:AVL---:1093,08:17:00,19:17:00,6600,1
1:AVL---:1132,06:17:00,08:47:00,1800,1
1:AVL---:2100,09:09:00,15:09:00,3600,1
1:AVL---:1080,20:21:00,21:21:00,900,1
1:AVL---:833,05:50:00,07:20:00,1800,1
1:AVL---:981,12:51:00,13:21:00,900,1
1:AVL---:1608,08:18:00,19:48:00,1800,1
1:AVL---:1070,06:52:00,07:12:00,600,1
1:AVL---:1780,06:50:00,18:50:00,7200,1
1:AVL---:1797,12:12:00,13:32:00,1200,1
1:AVL---:1648,06:39:00,19:19:00,1200,1
1:AVL---:1632,05:46:00,07:16:00,1800,1
1:AVL---:923,15:28:00,16:08:00,1200,1
1:AVL---:1594,06:46:00,19:31:00,900,1
1:AVL---:1737,05:44:00,06:44:00,1800,1
1:AVL---:1992,07:05:00,19:35:00,1800,1
1:AVL---:919,10:08:00,10:48:00,1200,1
1:AVL---:852,19:54:00,20:34:00,1200,1
1:AVL---:1774,18:19:00,19:19:00,1800,1
1:AVL---:1394,08:08:00,19:38:00,1800,1
1:AVL---:1476,11:19:00,19:19:00,1800,1
1:AVL---:1642,06:59:00,19:29:00,900,1
1:AVL---:1719,06:56:00,19:36:00,1200,1
1:AVL---:1868,11:25:00,19:25:00,1800,1
1:AVL---:2044,05:21:00,06:21:00,1800,1
1:AVL---:1406,20:10:00,21:40:00,1800,1
1:AVL---:1725,17:42:00,19:12:00,1800,1
1:AVL---:1813,20:27:00,21:27:00,1800,1
1:AVL---:1825,11:10:00,12:30:00,1200,1
1:AVL---:1004,13:50:00,14:20:00,900,1
1:AVL---:2045,19:51:00,22:21:00,1800,1
1:AVL---:1861,08:13:00,19:13:00,900,1
1:AVL---:940,08:00:00,11:30:00,900,1
1:AVL---:862,11:27:00,19:27:00,1800,1
